id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3,<blank>,0
4, ,41807
5,그,4280
6,이,4250
7,.,3951
8,는,3072
9,고,2948
10,가,2769
11,아,2550
12,어,2444
13,지,2092
14,거,2020
15,하,1960
16,데,1919
17,다,1882
18,서,1802
19,?,1769
20,에,1608
21,도,1505
22,나,1441
23,니,1434
24,게,1428
25,기,1317
26,을,1155
27,면,1125
28,은,1096
29,있,1076
30,한,1008
31,야,977
32,제,950
33,까,931
34,해,921
35,리,911
36,래,897
37,사,837
38,라,833
39,로,822
40,들,809
41,근,761
42,를,714
43,보,711
44,뭐,709
45,대,620
46,시,613
47,일,612
48,같,611
49,안,595
50,만,587
51,으,586
52,내,570
53,자,564
54,되,559
55,우,535
56,생,510
57,때,510
58,학,501
59,런,492
60,렇,480
61,했,460
62,너,460
63,좀,447
64,인,446
65,었,446
66,수,443
67,무,434
68,구,432
69,오,416
70,잖,408
71,많,403
72,주,402
73,부,397
74,진,394
75,스,386
76,러,373
77,네,363
78,것,361
79,없,360
80,요,351
81,간,347
82,전,331
83,각,331
84,음,324
85,애,324
86,냥,323
87,여,317
88,말,317
89,더,305
90,마,302
91,람,300
92,할,299
93,짜,291
94,겠,278
95,번,277
96,정,276
97,좋,275
98,금,270
99,원,269
100,든,269
101,려,265
102,알,264
103,장,258
104,교,258
105,의,252
106,랑,252
107,또,252
108,막,246
109,잘,235
110,비,235
111,저,234
112,연,232
113,단,229
114,분,225
115,건,225
116,모,223
117,먹,220
118,공,214
119,던,213
120,르,207
121,치,205
122,응,205
123,화,203
124,신,201
125,차,197
126,걸,197
127,과,194
128,동,192
129,상,190
130,드,190
131,히,189
132,중,187
133,경,186
134,않,185
135,갔,185
136,명,183
137,적,181
138,싶,181
139,십,178
140,봤,177
141,맞,175
142,걔,174
143,못,173
144,계,172
145,약,171
146,바,171
147,았,169
148,문,168
149,물,167
150,미,166
151,긴,164
152,실,163
153,세,160
154,년,159
155,냐,158
156,행,156
157,와,156
158,예,155
159,날,155
160,친,154
161,조,153
162,배,153
163,테,151
164,터,151
165,처,149
166,직,149
167,돼,147
168,유,146
169,영,146
170,소,146
171,버,143
172,입,140
173,왜,139
174,살,138
175,럼,138
176,트,137
177,른,137
178,두,137
179,재,136
180,얘,134
181,선,130
182,개,130
183,청,128
184,난,128
185,타,127
186,엄,124
187,봐,123
188,본,122
189,갈,121
190,쪽,119
191,왔,118
192,관,118
193,위,116
194,피,115
195,월,115
196,운,115
197,식,113
198,떻,113
199,님,113
200,업,112
201,국,110
202,방,109
203,회,106
204,속,103
205,삼,103
206,점,102
207,키,101
208,워,101
209,혼,100
210,디,100
211,노,100
212,남,99
213,달,98
214,집,96
215,된,96
216,따,95
217,받,93
218,준,91
219,돈,91
220,습,88
221,당,88
222,랬,87
223,카,86
224,느,86
225,언,84
226,험,83
227,체,83
228,외,82
229,힘,81
230,올,81
231,심,80
232,뭔,80
233,용,79
234,발,79
235,레,79
236,작,78
237,딱,78
238,역,77
239,억,75
240,활,74
241,찮,74
242,매,74
243,천,72
244,육,72
245,성,72
246,몇,72
247,였,71
248,강,71
249,져,70
250,산,70
251,놀,70
252,줄,69
253,싸,69
254,빠,69
255,프,68
256,편,68
257,열,68
258,쓰,68
259,볼,68
260,될,68
261,결,67
262,울,66
263,별,66
264,됐,66
265,감,66
266,얼,65
267,괜,65
268,떤,64
269,초,63
270,온,63
271,크,62
272,맨,62
273,통,61
274,반,61
275,백,60
276,밌,60
277,복,59
278,추,58
279,누,58
280,셨,57
281,목,57
282,칠,56
283,글,56
284,티,55
285,끼,55
286,놓,54
287,후,52
288,토,52
289,케,52
290,즘,52
291,설,52
292,밥,52
293,늘,52
294,끝,52
295,합,51
296,필,51
297,잡,51
298,불,51
299,박,51
300,호,50
301,팔,50
302,양,50
303,등,50
304,술,48
305,몰,48
306,름,48
307,군,48
308,확,47
309,표,47
310,페,47
311,씩,46
312,새,46
313,변,45
314,밖,45
315,파,44
316,셔,44
317,빼,44
318,빨,44
319,닌,44
320,취,43
321,완,43
322,싫,43
323,임,42
324,돌,42
325,눈,42
326,격,42
327,혹,41
328,책,41
329,질,41
330,머,41
331,틀,40
332,솔,40
333,승,39
334,섯,39
335,린,39
336,형,38
337,탈,38
338,엔,38
339,앞,38
340,력,38
341,극,38
342,태,37
343,증,37
344,넘,37
345,핑,36
346,최,36
347,족,36
348,떨,36
349,꿈,36
350,갖,36
351,옛,35
352,써,35
353,색,35
354,뭘,35
355,럴,35
356,락,35
357,둘,35
358,급,35
359,쨌,34
360,접,34
361,웃,34
362,망,34
363,침,33
364,줘,33
365,랜,33
366,길,33
367,휴,32
368,출,32
369,줬,32
370,절,32
